TRANSACTION_DATE,DAY_NAME,DAY_CLASSIFICATION,MONTH_NAME,TIME_BUCKET,HOUR_OF_DAY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_DETAIL,PRODUCT_TYPE,NUMBER_OF_SALES,TOTAL_REVENUE
2023-01-06,Fri,Weekday,Jan,afternoon,13,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,2,4.00
2023-01-06,Fri,Weekday,Jan,afternoon,14,Hell's Kitchen,Bakery,Ginger Biscotti,Biscotti,1,3.50
2023-01-06,Fri,Weekday,Jan,afternoon,14,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,Drip coffee,2,5.00
2023-01-07,Sat,Weekend,Jan,morning,7,Lower Manhattan,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,2.50
2023-01-07,Sat,Weekend,Jan,morning,8,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,5,24.80
2023-01-07,Sat,Weekend,Jan,morning,8,Hell's Kitchen,Flavours,Hazelnut syrup,Regular syrup,1,0.80
2023-01-07,Sat,Weekend,Jan,morning,10,Hell's Kitchen,Tea,Traditional Blend Chai Rg,Brewed Chai tea,3,10.00
2023-01-07,Sat,Weekend,Jan,evening,17,Astoria,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,6.20
2023-01-04,Wed,Weekday,Jan,afternoon,14,Astoria,Tea,English Breakfast Lg,Brewed Black tea,2,12.00
2023-01-05,Thu,Weekday,Jan,afternoon,12,Lower Manhattan,Bakery,Scottish Cream Scone ,Scone,1,4.50
2023-01-06,Fri,Weekday,Jan,afternoon,13,Hell's Kitchen,Bakery,Ginger Scone,Scone,1,3.25
2023-01-06,Fri,Weekday,Jan,afternoon,13,Astoria,Bakery,Cranberry Scone,Scone,1,3.25
2023-01-07,Sat,Weekend,Jan,morning,11,Astoria,Coffee,Espresso shot,Barista Espresso,1,6.00
2023-01-08,Sun,Weekend,Jan,morning,8,Hell's Kitchen,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.10
2023-01-08,Sun,Weekend,Jan,morning,9,Lower Manhattan,Bakery,Ginger Biscotti,Biscotti,1,3.50
2023-01-08,Sun,Weekend,Jan,morning,9,Lower Manhattan,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,2,9.00
2023-01-08,Sun,Weekend,Jan,morning,10,Lower Manhattan,Tea,English Breakfast Rg,Brewed Black tea,2,7.50
2023-01-08,Sun,Weekend,Jan,morning,11,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,6.20
2023-01-09,Mon,Weekday,Jan,morning,6,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,3.10
2023-01-09,Mon,Weekday,Jan,morning,7,Hell's Kitchen,Coffee,Latte Rg,Barista Espresso,1,4.25
2023-01-09,Mon,Weekday,Jan,morning,10,Lower Manhattan,Tea,English Breakfast Rg,Brewed Black tea,1,2.50
2023-01-09,Mon,Weekday,Jan,afternoon,14,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee,2,7.50
2023-01-09,Mon,Weekday,Jan,evening,18,Astoria,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,2.20
2023-01-10,Tue,Weekday,Jan,morning,8,Hell's Kitchen,Bakery,Jumbo Savory Scone,Scone,2,7.50
2023-01-11,Wed,Weekday,Jan,morning,6,Lower Manhattan,Tea,Peppermint Lg,Brewed herbal tea,2,9.00
2023-01-11,Wed,Weekday,Jan,afternoon,12,Astoria,Tea,English Breakfast Rg,Brewed Black tea,1,5.00
2023-01-11,Wed,Weekday,Jan,afternoon,14,Lower Manhattan,Coffee,Brazilian Lg,Organic brewed coffee,1,7.00
2023-01-12,Thu,Weekday,Jan,morning,7,Lower Manhattan,Coffee,Cappuccino,Barista Espresso,1,3.75
2023-01-13,Fri,Weekday,Jan,morning,9,Lower Manhattan,Coffee,Ethiopia Rg,Gourmet brewed coffee,2,9.00
2023-01-14,Sat,Weekend,Jan,morning,9,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,7.50
2023-01-14,Sat,Weekend,Jan,afternoon,16,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,3.75
2023-01-15,Sun,Weekend,Jan,morning,6,Lower Manhattan,Coffee,Brazilian Lg,Organic brewed coffee,2,14.00
2023-01-11,Wed,Weekday,Jan,afternoon,13,Hell's Kitchen,Tea,Earl Grey Rg,Brewed Black tea,1,5.00
2023-01-13,Fri,Weekday,Jan,morning,7,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,3.75
2023-01-13,Fri,Weekday,Jan,afternoon,16,Lower Manhattan,Tea,Peppermint Rg,Brewed herbal tea,1,5.00
2023-01-14,Sat,Weekend,Jan,morning,9,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,2.50
2023-01-15,Sun,Weekend,Jan,morning,8,Lower Manhattan,Tea,Earl Grey Lg,Brewed Black tea,2,12.00
2023-01-16,Mon,Weekday,Jan,morning,8,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,6.00
2023-01-16,Mon,Weekday,Jan,morning,8,Hell's Kitchen,Tea,Traditional Blend Chai Lg,Brewed Chai tea,2,9.00
2023-01-16,Mon,Weekday,Jan,morning,11,Lower Manhattan,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,3.00
2023-01-16,Mon,Weekday,Jan,afternoon,14,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,4.50
2023-01-17,Tue,Weekday,Jan,morning,7,Hell's Kitchen,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,2,4.00
2023-01-17,Tue,Weekday,Jan,morning,10,Hell's Kitchen,Tea,Peppermint Rg,Brewed herbal tea,1,5.00
2023-01-21,Sat,Weekend,Jan,morning,8,Hell's Kitchen,Coffee,Latte,Barista Espresso,1,7.50
2023-01-21,Sat,Weekend,Jan,morning,8,Hell's Kitchen,Bakery,Almond Croissant,Pastry,1,3.75
2023-01-21,Sat,Weekend,Jan,morning,9,Astoria,Branded,I Need My Bean! T-shirt,Clothing,1,28.00
2023-01-16,Mon,Weekday,Jan,morning,9,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg,Drip coffee,2,12.00
2023-01-22,Sun,Weekend,Jan,morning,6,Lower Manhattan,Flavours,Carmel syrup,Regular syrup,1,0.80
2023-01-24,Tue,Weekday,Jan,morning,11,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,9.00
2023-01-28,Sat,Weekend,Jan,morning,8,Hell's Kitchen,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,1,3.50
2023-02-08,Wed,Weekday,Feb,afternoon,13,Astoria,Coffee,Espresso shot,Barista Espresso,1,6.00
2023-02-09,Thu,Weekday,Feb,evening,20,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea,1,2.50
2023-02-12,Sun,Weekend,Feb,morning,7,Lower Manhattan,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,3.00
2023-02-14,Tue,Weekday,Feb,morning,9,Lower Manhattan,Tea,Lemon Grass Lg,Brewed herbal tea,1,6.00
2023-01-02,Mon,Weekday,Jan,morning,9,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,5.00
2023-01-04,Wed,Weekday,Jan,afternoon,15,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,2,9.50
2023-01-05,Thu,Weekday,Jan,morning,7,Lower Manhattan,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,3.75
2023-01-06,Fri,Weekday,Jan,morning,9,Lower Manhattan,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,5.00
2023-01-07,Sat,Weekend,Jan,morning,8,Hell's Kitchen,Coffee,Latte Rg,Barista Espresso,2,8.50
2023-01-07,Sat,Weekend,Jan,morning,11,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,2,7.65
2023-01-07,Sat,Weekend,Jan,afternoon,15,Astoria,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-01-05,Thu,Weekday,Jan,evening,17,Lower Manhattan,Tea,Serenity Green Tea Lg,Brewed Green tea,1,3.00
2023-01-06,Fri,Weekday,Jan,evening,17,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,1,7.00
2023-01-07,Sat,Weekend,Jan,morning,8,Astoria,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,3.00
2023-01-07,Sat,Weekend,Jan,morning,10,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-01-09,Mon,Weekday,Jan,morning,6,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,1,5.10
2023-01-09,Mon,Weekday,Jan,morning,7,Lower Manhattan,Coffee,Cappuccino Lg,Barista Espresso,1,8.50
2023-01-09,Mon,Weekday,Jan,morning,8,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea,1,5.00
2023-01-09,Mon,Weekday,Jan,morning,9,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,4.75
2023-01-09,Mon,Weekday,Jan,morning,9,Astoria,Coffee,Brazilian Rg,Organic brewed coffee,1,6.00
2023-01-10,Tue,Weekday,Jan,morning,8,Astoria,Bakery,Almond Croissant,Pastry,1,3.75
2023-01-10,Tue,Weekday,Jan,morning,9,Astoria,Tea,Peppermint Rg,Brewed herbal tea,2,7.50
2023-01-10,Tue,Weekday,Jan,afternoon,12,Astoria,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,3.00
2023-01-10,Tue,Weekday,Jan,afternoon,15,Hell's Kitchen,Tea,English Breakfast Rg,Brewed Black tea,1,2.50
2023-01-10,Tue,Weekday,Jan,afternoon,15,Astoria,Tea,Earl Grey Lg,Brewed Black tea,1,3.00
2023-01-10,Tue,Weekday,Jan,afternoon,16,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.50
2023-01-10,Tue,Weekday,Jan,evening,18,Astoria,Coffee,Espresso shot,Barista Espresso,2,6.00
2023-01-10,Tue,Weekday,Jan,evening,18,Lower Manhattan,Coffee,Latte,Barista Espresso,1,3.75
2023-01-10,Tue,Weekday,Jan,evening,18,Astoria,Flavours,Sugar Free Vanilla syrup,Sugar free syrup,1,1.60
2023-01-11,Wed,Weekday,Jan,morning,6,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-01-11,Wed,Weekday,Jan,morning,8,Lower Manhattan,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,3.10
2023-01-11,Wed,Weekday,Jan,evening,18,Astoria,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,1,7.00
2023-01-12,Thu,Weekday,Jan,morning,8,Astoria,Flavours,Carmel syrup,Regular syrup,1,1.60
2023-01-12,Thu,Weekday,Jan,morning,10,Lower Manhattan,Flavours,Hazelnut syrup,Regular syrup,1,1.60
2023-01-13,Fri,Weekday,Jan,morning,7,Lower Manhattan,Bakery,Ginger Biscotti,Biscotti,2,7.00
2023-01-13,Fri,Weekday,Jan,morning,8,Astoria,Tea,English Breakfast Rg,Brewed Black tea,1,2.50
2023-01-14,Sat,Weekend,Jan,morning,7,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,Drip coffee,2,9.00
2023-01-14,Sat,Weekend,Jan,morning,9,Astoria,Tea,English Breakfast Lg,Brewed Black tea,1,3.00
2023-01-10,Tue,Weekday,Jan,morning,7,Hell's Kitchen,Bakery,Croissant,Pastry,1,3.50
2023-01-11,Wed,Weekday,Jan,morning,6,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,2,14.25
2023-01-12,Thu,Weekday,Jan,afternoon,14,Hell's Kitchen,Coffee,Brazilian Rg,Organic brewed coffee,1,3.00
2023-01-14,Sat,Weekend,Jan,morning,11,Astoria,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,2,14.25
2023-01-14,Sat,Weekend,Jan,evening,17,Lower Manhattan,Bakery,Scottish Cream Scone ,Scone,1,4.50
2023-01-15,Sun,Weekend,Jan,morning,10,Astoria,Packaged Chocolate,Sustainably Grown Organic,Organic Chocolate,1,7.60
2023-01-15,Sun,Weekend,Jan,evening,17,Lower Manhattan,Bakery,Chocolate Chip Biscotti,Biscotti,1,3.50
2023-01-16,Mon,Weekday,Jan,morning,8,Hell's Kitchen,Bakery,Jumbo Savory Scone,Scone,1,3.75
2023-01-16,Mon,Weekday,Jan,afternoon,12,Lower Manhattan,Flavours,Carmel syrup,Regular syrup,2,2.40
2023-01-17,Tue,Weekday,Jan,morning,8,Astoria,Tea,English Breakfast Rg,Brewed Black tea,1,2.50
2023-01-17,Tue,Weekday,Jan,morning,10,Hell's Kitchen,Flavours,Chocolate syrup,Regular syrup,1,0.80
2023-01-17,Tue,Weekday,Jan,morning,11,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,2,7.50
2023-01-17,Tue,Weekday,Jan,afternoon,13,Lower Manhattan,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,2,9.80
2023-01-18,Wed,Weekday,Jan,morning,8,Astoria,Coffee beans,Our Old Time Diner Blend,House blend Beans,1,18.00
2023-01-18,Wed,Weekday,Jan,morning,10,Astoria,Coffee,Latte Rg,Barista Espresso,1,4.25
2023-01-18,Wed,Weekday,Jan,afternoon,12,Lower Manhattan,Tea,Peppermint Lg,Brewed herbal tea,2,6.00
2023-01-18,Wed,Weekday,Jan,afternoon,12,Lower Manhattan,Coffee,Latte,Barista Espresso,1,3.75
2023-01-18,Wed,Weekday,Jan,afternoon,15,Lower Manhattan,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,1,8.00
2023-01-18,Wed,Weekday,Jan,evening,17,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,2.50
2023-01-18,Wed,Weekday,Jan,evening,19,Astoria,Coffee beans,Espresso Roast,Espresso Beans,1,14.75
2023-01-19,Thu,Weekday,Jan,morning,6,Hell's Kitchen,Tea,Lemon Grass Lg,Brewed herbal tea,2,9.00
2023-01-19,Thu,Weekday,Jan,morning,7,Astoria,Coffee,Brazilian Rg,Organic brewed coffee,1,3.00
2023-01-19,Thu,Weekday,Jan,morning,9,Hell's Kitchen,Coffee,Brazilian Sm,Organic brewed coffee,2,6.60
2023-01-20,Fri,Weekday,Jan,morning,8,Astoria,Bakery,Scottish Cream Scone ,Scone,3,13.50
2023-01-20,Fri,Weekday,Jan,afternoon,14,Hell's Kitchen,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,2,8.00
2023-01-21,Sat,Weekend,Jan,morning,9,Hell's Kitchen,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,3.00
2023-01-21,Sat,Weekend,Jan,morning,9,Astoria,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,4.40
2023-01-21,Sat,Weekend,Jan,morning,10,Hell's Kitchen,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-01-21,Sat,Weekend,Jan,morning,10,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,2,7.65
2023-01-21,Sat,Weekend,Jan,afternoon,12,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,2.00
2023-01-21,Sat,Weekend,Jan,afternoon,13,Lower Manhattan,Bakery,Ginger Scone,Scone,1,2.65
2023-01-21,Sat,Weekend,Jan,evening,18,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,1,5.00
2023-01-21,Sat,Weekend,Jan,evening,20,Hell's Kitchen,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,2.50
2023-01-16,Mon,Weekday,Jan,morning,7,Lower Manhattan,Coffee,Ouro Brasileiro shot,Barista Espresso,1,6.00
2023-01-17,Tue,Weekday,Jan,morning,9,Hell's Kitchen,Coffee,Ouro Brasileiro shot,Barista Espresso,2,4.20
2023-01-19,Thu,Weekday,Jan,morning,6,Lower Manhattan,Bakery,Cranberry Scone,Scone,1,3.25
2023-01-20,Fri,Weekday,Jan,morning,10,Lower Manhattan,Bakery,Chocolate Croissant,Pastry,2,7.50
2023-01-22,Sun,Weekend,Jan,morning,7,Lower Manhattan,Coffee,Ouro Brasileiro shot,Barista Espresso,1,3.00
2023-01-22,Sun,Weekend,Jan,afternoon,12,Lower Manhattan,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,2.20
2023-01-22,Sun,Weekend,Jan,afternoon,14,Astoria,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,2,14.25
2023-01-22,Sun,Weekend,Jan,afternoon,15,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,6.00
2023-01-23,Mon,Weekday,Jan,morning,8,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,6.00
2023-01-23,Mon,Weekday,Jan,morning,8,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee,2,7.50
2023-01-23,Mon,Weekday,Jan,morning,9,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,11.25
2023-01-23,Mon,Weekday,Jan,afternoon,14,Astoria,Tea,Serenity Green Tea Lg,Brewed Green tea,3,12.00
2023-01-23,Mon,Weekday,Jan,afternoon,16,Lower Manhattan,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,7.50
2023-01-23,Mon,Weekday,Jan,evening,17,Lower Manhattan,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,2.50
2023-01-23,Mon,Weekday,Jan,evening,19,Astoria,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,3.00
2023-01-24,Tue,Weekday,Jan,morning,6,Hell's Kitchen,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,5.00
2023-01-24,Tue,Weekday,Jan,morning,7,Lower Manhattan,Tea,Earl Grey Rg,Brewed Black tea,1,7.50
2023-01-24,Tue,Weekday,Jan,morning,9,Lower Manhattan,Flavours,Chocolate syrup,Regular syrup,1,1.60
2023-01-25,Wed,Weekday,Jan,morning,6,Hell's Kitchen,Bakery,Ginger Biscotti,Biscotti,1,3.50
2023-01-25,Wed,Weekday,Jan,morning,10,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,1,2.55
2023-01-25,Wed,Weekday,Jan,morning,10,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,2,9.00
2023-01-25,Wed,Weekday,Jan,afternoon,16,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,3.10
2023-01-26,Thu,Weekday,Jan,morning,7,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-01-26,Thu,Weekday,Jan,morning,8,Lower Manhattan,Tea,Earl Grey Rg,Brewed Black tea,1,7.50
2023-01-26,Thu,Weekday,Jan,morning,9,Astoria,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,6.00
2023-01-27,Fri,Weekday,Jan,morning,11,Astoria,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,3.00
2023-01-27,Fri,Weekday,Jan,morning,11,Astoria,Coffee,Cappuccino Lg,Barista Espresso,2,8.50
2023-01-27,Fri,Weekday,Jan,evening,18,Astoria,Bakery,Jumbo Savory Scone,Scone,1,3.75
2023-01-27,Fri,Weekday,Jan,evening,20,Hell's Kitchen,Coffee,Latte Rg,Barista Espresso,1,4.25
2023-01-27,Fri,Weekday,Jan,morning,9,Astoria,Coffee,Cappuccino,Barista Espresso,2,11.25
2023-01-27,Fri,Weekday,Jan,morning,10,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,1,5.00
2023-01-29,Sun,Weekend,Jan,evening,18,Lower Manhattan,Tea,Peppermint Rg,Brewed herbal tea,2,7.50
2023-01-31,Tue,Weekday,Jan,morning,9,Lower Manhattan,Bakery,Oatmeal Scone,Scone,3,9.00
2023-01-31,Tue,Weekday,Jan,afternoon,12,Astoria,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,5.00
2023-02-01,Wed,Weekday,Feb,morning,8,Hell's Kitchen,Coffee,Latte Rg,Barista Espresso,1,4.25
2023-02-01,Wed,Weekday,Feb,morning,11,Astoria,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
2023-02-01,Wed,Weekday,Feb,afternoon,14,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,6.00
2023-02-01,Wed,Weekday,Feb,afternoon,15,Astoria,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,9.50
2023-02-01,Wed,Weekday,Feb,afternoon,15,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,3.00
2023-02-02,Thu,Weekday,Feb,afternoon,14,Astoria,Bakery,Ginger Scone,Scone,1,3.25
2023-02-02,Thu,Weekday,Feb,evening,19,Astoria,Tea,Serenity Green Tea Lg,Brewed Green tea,2,12.00
2023-02-03,Fri,Weekday,Feb,morning,11,Astoria,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,4.50
2023-02-03,Fri,Weekday,Feb,afternoon,12,Astoria,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,3.00
2023-02-04,Sat,Weekend,Feb,evening,17,Lower Manhattan,Bakery,Croissant,Pastry,1,3.50
2023-02-04,Sat,Weekend,Feb,evening,17,Hell's Kitchen,Tea,Earl Grey Rg,Brewed Black tea,1,2.50
2023-02-05,Sun,Weekend,Feb,afternoon,13,Astoria,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,1,7.00
2023-02-05,Sun,Weekend,Feb,afternoon,14,Hell's Kitchen,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,3.00
2023-02-05,Sun,Weekend,Feb,afternoon,16,Astoria,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,2.50
2023-02-03,Fri,Weekday,Feb,afternoon,15,Lower Manhattan,Bakery,Chocolate Chip Biscotti,Biscotti,2,7.00
